city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.15,7,3.3,4.4,4.9,0,0,0,1,0,0,0,12.6,1,0.079365079
Toronto,site.15,8,2.2,3.2,3,0,0,1,0,0,0,0,8.4,1,0.119047619
Toronto,site.15,9,2.3,3.6,2.6,0,0,2,1,2,0,0,8.5,5,0.588235294
Toronto,site.15,10,3.6,3.2,2.3,0,0,6,2,0,0,0,9.1,8,0.879120879
Toronto,site.16,1,4.4,0,0,0,0,5,0,0,0,0,4.4,5,1.136363636
Toronto,site.16,2,1.4,1.7,1.7,2.3,4.2,2,2,4,0,0,11.3,8,0.707964602
Toronto,site.16,3,4.3,3,4.6,0,0,4,1,1,0,0,11.9,6,0.504201681
Toronto,site.16,4,1.8,5.3,0,0,0,2,0,0,0,0,7.1,2,0.281690141
Toronto,site.16,5,2.8,2,3.3,0,0,0,0,1,0,0,8.1,1,0.12345679
Toronto,site.16,6,3.3,2.2,1.8,5.3,0,8,1,1,0,0,12.6,10,0.793650794
Toronto,site.16,7,1.1,3.6,2.5,0.8,0,0,3,1,0,0,8,4,0.5
Toronto,site.16,8,3.2,3.8,4.7,0,0,2,1,1,0,0,11.7,4,0.341880342
Toronto,site.16,9,1.8,2.9,3.2,2.2,0,0,1,2,1,0,10.1,4,0.396039604
Toronto,site.16,10,3.3,2.7,3.2,6.5,0,5,1,0,0,0,15.7,6,0.382165605
Toronto,site.17,1,4.4,7.3,0,0,0,0,1,0,0,0,11.7,1,0.085470085
Toronto,site.17,2,5,4.5,2.7,0,0,1,1,0,0,0,12.2,2,0.163934426
Toronto,site.17,3,4.6,3.4,5.2,0,0,0,0,0,0,0,13.2,0,0
Toronto,site.17,4,2.2,5,2.8,0,0,0,3,0,0,0,10,3,0.3
Toronto,site.17,5,2,3.9,3.6,4,0,0,1,5,2,0,13.5,8,0.592592593
Toronto,site.17,6,3.4,4.2,0,0,0,0,1,0,0,0,7.6,1,0.131578947
Toronto,site.17,7,1.8,1.8,1.6,3.9,8.2,0,0,0,1,1,17.3,2,0.115606936
Toronto,site.17,8,6.2,7.8,0,0,0,0,3,0,0,0,14,3,0.214285714
Toronto,site.17,9,1,1.6,3,1.7,2,0,3,0,1,0,9.3,4,0.430107527
Toronto,site.17,10,2.2,1.8,2.5,4.2,0,0,0,0,2,0,10.7,2,0.186915888
Toronto,site.18,1,0.5,2.1,2.8,0.8,3.3,0,0,0,0,0,9.5,0,0
